TABLE_NAME	INDEX_NAME	NON_UNIQUE	COLUMNS
games_user	PRIMARY	0	code
games_user	user_name	0	user_name
games_user_event	PRIMARY	0	code
games_user_free	game_code	1	game_code
games_user_free	member_code	1	member_code
games_user_free	PRIMARY	0	code
jobs	jobs_queue_index	1	queue
jobs	PRIMARY	0	id
line_accounts	line_accounts_status_index	1	status
line_accounts	line_accounts_webhook_token_unique	0	webhook_token
line_accounts	PRIMARY	0	id
line_contacts	line_contacts_line_account_id_line_user_id_index	1	line_account_id,line_user_id
line_contacts	line_contacts_line_user_id_index	1	line_user_id
line_contacts	line_contacts_member_id_index	1	member_id
line_contacts	line_contacts_member_mobile_index	1	member_mobile
line_contacts	line_contacts_member_username_index	1	member_username
line_contacts	PRIMARY	0	id
line_conversations	line_conversations_assigned_employee_id_index	1	assigned_employee_id
line_conversations	line_conversations_is_pinned_index	1	is_pinned
line_conversations	line_conversations_line_account_id_line_contact_id_index	1	line_account_id,line_contact_id
line_conversations	line_conversations_locked_by_employee_id_index	1	locked_by_employee_id
line_conversations	line_conversations_status_last_message_at_index	1	status,last_message_at
line_conversations	PRIMARY	0	id
line_conversation_notes	line_conversation_notes_employee_id_index	1	employee_id
line_conversation_notes	line_conversation_notes_line_account_id_index	1	line_account_id
line_conversation_notes	line_conversation_notes_line_contact_id_index	1	line_contact_id
line_conversation_notes	line_conversation_notes_line_conversation_id_index	1	line_conversation_id
line_conversation_notes	PRIMARY	0	id
line_messages	line_messages_is_pinned_index	1	is_pinned
line_messages	line_messages_line_account_id_index	1	line_account_id
line_messages	line_messages_line_contact_id_index	1	line_contact_id
line_messages	line_messages_line_conversation_id_index	1	line_conversation_id
line_messages	line_messages_line_message_id_index	1	line_message_id
line_messages	line_messages_sender_bot_key_index	1	sender_bot_key
line_messages	line_messages_sender_employee_id_index	1	sender_employee_id
line_messages	line_messages_sent_at_index	1	sent_at
line_messages	PRIMARY	0	id
line_register_sessions	line_register_sessions_line_contact_id_index	1	line_contact_id
line_register_sessions	line_register_sessions_line_conversation_id_index	1	line_conversation_id
line_register_sessions	line_register_sessions_member_id_index	1	member_id
line_register_sessions	line_register_sessions_status_current_step_index	1	status,current_step
line_register_sessions	line_register_sessions_status_index	1	status
line_register_sessions	PRIMARY	0	id
line_templates	line_templates_category_index	1	category
line_templates	line_templates_created_by_index	1	created_by
line_templates	line_templates_enabled_index	1	enabled
line_templates	line_templates_key_unique	0	key
line_templates	line_templates_message_type_index	1	message_type
line_templates	line_templates_updated_by_index	1	updated_by
line_templates	PRIMARY	0	id
line_webhook_logs	line_webhook_logs_event_id_index	1	event_id
line_webhook_logs	line_webhook_logs_event_type_created_at_index	1	event_type,created_at
line_webhook_logs	line_webhook_logs_event_type_index	1	event_type
line_webhook_logs	line_webhook_logs_is_processed_index	1	is_processed
line_webhook_logs	line_webhook_logs_line_account_id_index	1	line_account_id
line_webhook_logs	line_webhook_logs_request_id_index	1	request_id
line_webhook_logs	PRIMARY	0	id
logger_admin_activity	PRIMARY	0	id
logger_user_activity	PRIMARY	0	id
logs	PRIMARY	0	code
logs_archive	PRIMARY	0	code
logs_backup	PRIMARY	0	code
logs_type	code	1	code
logs_type	PRIMARY	0	code
lotto_draws	lotto_draws_market_id_draw_date_index	1	market_id,draw_date
lotto_draws	lotto_draws_status_index	1	status
lotto_draws	PRIMARY	0	id
lotto_draw_bet_settings	lotto_draw_bet_settings_draw_id_bet_type_unique	0	draw_id,bet_type
lotto_draw_bet_settings	PRIMARY	0	id
lotto_groups	lotto_groups_code_unique	0	code
lotto_groups	PRIMARY	0	id
lotto_markets	lotto_markets_code_unique	0	code
lotto_markets	lotto_markets_group_id_foreign	1	group_id
lotto_markets	PRIMARY	0	id
lotto_market_bet_settings	lotto_market_bet_settings_market_id_bet_type_unique	0	market_id,bet_type
lotto_market_bet_settings	PRIMARY	0	id
lotto_number_blocks	lotto_number_blocks_draw_id_bet_type_number_unique	0	draw_id,bet_type,number
lotto_number_blocks	lotto_number_blocks_draw_id_blocked_at_index	1	draw_id,blocked_at
lotto_number_blocks	PRIMARY	0	id
lotto_number_exposures	lotto_number_exposures_draw_id_bet_type_index	1	draw_id,bet_type
lotto_number_exposures	lotto_number_exposures_draw_id_bet_type_number_unique	0	draw_id,bet_type,number
lotto_number_exposures	PRIMARY	0	id
lotto_rate_plans	lotto_rate_plans_group_id_foreign	1	group_id
lotto_rate_plans	PRIMARY	0	id
lotto_rate_plan_items	lotto_rate_plan_items_rate_plan_id_bet_type_unique	0	rate_plan_id,bet_type
lotto_rate_plan_items	PRIMARY	0	id
lotto_tickets	lotto_tickets_draw_id_status_index	1	draw_id,status
lotto_tickets	lotto_tickets_member_id_draw_id_index	1	member_id,draw_id
lotto_tickets	PRIMARY	0	id
lotto_ticket_items	lotto_ticket_items_ticket_id_index	1	ticket_id
lotto_ticket_items	PRIMARY	0	id
marketing_campaigns	marketing_campaigns_team_id_foreign	1	team_id
marketing_campaigns	PRIMARY	0	id
marketing_teams	marketing_teams_bank_code_foreign	1	bank_code
marketing_teams	marketing_teams_username_unique	0	username
marketing_teams	PRIMARY	0	id
members	idx_members_date_regis	1	date_regis
members	idx_members_date_regis_campaign	1	date_regis,campaign_id
members	idx_members_date_regis_upline	1	date_regis,upline_code
members	members_campaign_id_foreign	1	campaign_id
members	members_confirm_date_create_index	1	confirm,date_create
members	members_team_id_foreign	1	team_id
members	members_upline_code_user_name_date_create_index	1	upline_code,user_name,date_create
members	members_user_name_index	1	user_name
members	member_all_index	1	code,firstname,lastname,user_name,user_pass,acc_no,tel,lineid,wallet_id,date_create
members	member_confirm	1	confirm,date_create
members	member_index	1	upline_code,date_create,user_name
members	PRIMARY	0	code
members_cashback	new	0	date_cashback,game_user
members_cashback	PRIMARY	0	code
members_cashback	unique	0	member_code,date_cashback
members_cb	members_campaign_id_foreign	1	campaign_id
members_cb	members_confirm_date_create_index	1	confirm,date_create
members_cb	members_team_id_foreign	1	team_id
members_cb	members_upline_code_user_name_date_create_index	1	upline_code,user_name,date_create
members_cb	members_user_name_index	1	user_name
members_cb	members_wallet_id_unique	0	wallet_id
members_cb	member_all_index	1	code,firstname,lastname,user_name,user_pass,acc_no,tel,lineid,wallet_id,date_create
members_cb	member_confirm	1	confirm,date_create
members_cb	member_index	1	upline_code,date_create,user_name
members_cb	PRIMARY	0	code
members_checkin	PRIMARY	0	code
members_credit_free_log	members_credit_free_log_index	1	kind,member_code,date_create
members_credit_free_log	PRIMARY	0	code
members_credit_log	idx_mcl_kind_credit_type_date	1	kind,credit_type,date_create
members_credit_log	members_credit_log_index	1	kind,member_code,date_create
members_credit_log	PRIMARY	0	code
members_diamondlog	emp_code	1	emp_code
members_diamondlog	member_code	1	member_code
members_diamondlog	PRIMARY	0	code
members_edit_log	PRIMARY	0	code
members_freecredit	members_freecredit_kind_member_code_date_create_index	1	kind,member_code,date_create
members_freecredit	PRIMARY	0	code
members_ic	PRIMARY	0	code
members_ic_bk	PRIMARY	0	code
members_log	PRIMARY	0	code
members_log_bk	PRIMARY	0	code
members_pointlog	emp_code	1	emp_code
members_pointlog	member_code	1	member_code
members_pointlog	PRIMARY	0	code
members_promotionlog	bill_code	1	bill_code
members_promotionlog	gameuser_code	1	gameuser_code
members_promotionlog	member_code	1	member_code
members_promotionlog	PRIMARY	0	code
members_real	members_campaign_id_foreign	1	campaign_id
members_real	members_confirm_date_create_index	1	confirm,date_create
members_real	members_team_id_foreign	1	team_id
members_real	members_upline_code_user_name_date_create_index	1	upline_code,user_name,date_create
members_real	members_user_name_index	1	user_name
members_real	members_wallet_id_unique	0	wallet_id
members_real	member_all_index	1	code,firstname,lastname,user_name,user_pass,acc_no,tel,lineid,wallet_id,date_create
members_real	member_confirm	1	confirm,date_create
members_real	member_index	1	upline_code,date_create,user_name
members_real	PRIMARY	0	code
members_remark	PRIMARY	0	code
members_select_pro	member_code	0	member_code
members_select_pro	PRIMARY	0	code
members_transfer	member_code	1	member_code
members_transfer	PRIMARY	0	code
members_transfer	to_member_code	1	to_member_code
member_deposit_stats	idx_member_deposit_stats_legacy_at	1	legacy_at
member_deposit_stats	PRIMARY	0	id
member_deposit_stats	uk_member_deposit_stats_member_code	0	member_code
member_lotto_market_policies	member_lotto_market_policies_group_id_foreign	1	group_id
member_lotto_market_policies	member_lotto_market_policies_market_id_foreign	1	market_id
member_lotto_market_policies	member_lotto_market_policies_member_id_is_allowed_index	1	member_id,is_allowed
member_lotto_market_policies	member_market_unique	0	member_id,market_id
member_lotto_market_policies	PRIMARY	0	id
member_lotto_permissions	member_lotto_permissions_group_id_foreign	1	group_id
member_lotto_permissions	member_lotto_permissions_member_id_group_id_unique	0	member_id,group_id
member_lotto_permissions	PRIMARY	0	id
member_lotto_settings	member_lotto_settings_member_id_unique	0	member_id
member_lotto_settings	member_lotto_settings_rate_plan_id_foreign	1	rate_plan_id
member_lotto_settings	PRIMARY	0	id
member_satang	memberbank	1	shortcode,bank_code
member_satang	PRIMARY	0	code
migrations	PRIMARY	0	id
notices	notices_route_unique	0	route
notices	PRIMARY	0	code
notices_new	PRIMARY	0	code
notifications	notifications_notifiable_type_notifiable_id_index	1	notifiable_type,notifiable_id
notifications	PRIMARY	0	id
payments	PRIMARY	0	code
payments_log	PRIMARY	0	code
payments_log_free	PRIMARY	0	code
payments_promotion	idx_pp_pro_enable_date	1	pro_code,enable,date_create
payments_promotion	member_code	1	member_code
payments_promotion	PRIMARY	0	code
payments_promotion	pro_code	1	pro_code
payments_waiting	member_code	1	member_code
payments_waiting	PRIMARY	0	code
payment_provider_accounts	idx_customer_account_id	1	customer_account_id
payment_provider_accounts	idx_customer_id	1	customer_id
payment_provider_accounts	idx_phone_number	1	phone_number
payment_provider_accounts	idx_provider_member_code	1	provider,member_code
payment_provider_accounts	PRIMARY	0	id
payment_provider_accounts	uniq_provider_identifier_platform_currency	0	provider,account_identifier,account_platform,currency_code
permissions	PRIMARY	0	code
permissions_type	PRIMARY	0	code
positions	PRIMARY	0	code
prefixs	PRIMARY	0	code
promotions	PRIMARY	0	code
promotions_amount	PRIMARY	0	code
promotions_content	PRIMARY	0	code
promotions_time	PRIMARY	0	code
push_subscriptions	PRIMARY	0	id
push_subscriptions	push_subscriptions_endpoint_unique	0	endpoint
push_subscriptions	push_subscriptions_user_id_index	1	user_id
queue_monitor	PRIMARY	0	id
queue_monitor	queue_monitor_failed_index	1	failed
queue_monitor	queue_monitor_job_id_index	1	job_id
queue_monitor	queue_monitor_started_at_index	1	started_at
queue_monitor	queue_monitor_time_elapsed_index	1	time_elapsed
refers	PRIMARY	0	code
registration_links	PRIMARY	0	id
registration_links	registration_links_campaign_id_foreign	1	campaign_id
registration_links	registration_links_code_unique	0	code
registration_links	registration_links_team_id_foreign	1	team_id
registration_link_clicks	PRIMARY	0	id
registration_link_clicks	registration_link_clicks_registration_link_id_foreign	1	registration_link_id
rewards	PRIMARY	0	code
rewards_list	PRIMARY	0	id
rewards_list	rewards_list_campaign_id_index	1	campaign_id
rewards_list	rewards_list_code_unique	0	code
rewards_list	rewards_list_created_by_index	1	created_by
rewards_list	rewards_list_credit_amount_index	1	credit_amount
rewards_list	rewards_list_end_at_index	1	end_at
rewards_list	rewards_list_event_id_index	1	event_id
rewards_list	rewards_list_fulfillment_mode_index	1	fulfillment_mode
rewards_list	rewards_list_gem_amount_index	1	gem_amount
rewards_list	rewards_list_is_featured_index	1	is_featured
rewards_list	rewards_list_is_hidden_index	1	is_hidden
rewards_list	rewards_list_limit_period_index	1	limit_period
rewards_list	rewards_list_limit_type_index	1	limit_type
rewards_list	rewards_list_point_cost_index	1	point_cost
rewards_list	rewards_list_priority_index	1	priority
rewards_list	rewards_list_reward_type_index	1	reward_type
rewards_list	rewards_list_slug_index	1	slug
rewards_list	rewards_list_start_at_index	1	start_at
rewards_list	rewards_list_status_index	1	status
rewards_list	rewards_list_stock_unlimited_index	1	stock_unlimited
rewards_list	rewards_list_updated_by_index	1	updated_by
rewards_list	rewards_status_time_idx	1	status,start_at,end_at
rewards_list	rewards_type_fulfillment_idx	1	reward_type,fulfillment_mode
reward_redemptions	PRIMARY	0	id
reward_redemptions	reward_redemptions_cancelled_at_index	1	cancelled_at
reward_redemptions	reward_redemptions_contact_channel_index	1	contact_channel
reward_redemptions	reward_redemptions_fulfilled_at_index	1	fulfilled_at
reward_redemptions	reward_redemptions_fulfillment_mode_snapshot_index	1	fulfillment_mode_snapshot
reward_redemptions	reward_redemptions_handled_by_index	1	handled_by
reward_redemptions	reward_redemptions_idempotency_key_unique	0	idempotency_key
reward_redemptions	reward_redemptions_member_id_index	1	member_id
reward_redemptions	reward_redemptions_member_reward_created_idx	1	member_id,reward_id,created_at
reward_redemptions	reward_redemptions_member_reward_status_idx	1	member_id,reward_id,status
reward_redemptions	reward_redemptions_member_status_idx	1	member_id,status
reward_redemptions	reward_redemptions_point_debited_index	1	point_debited
reward_redemptions	reward_redemptions_redeemed_at_index	1	redeemed_at
reward_redemptions	reward_redemptions_refunded_at_index	1	refunded_at
reward_redemptions	reward_redemptions_refunded_by_index	1	refunded_by
reward_redemptions	reward_redemptions_rejected_at_index	1	rejected_at
reward_redemptions	reward_redemptions_request_ip_index	1	request_ip
reward_redemptions	reward_redemptions_request_source_index	1	request_source
reward_redemptions	reward_redemptions_reward_code_snapshot_index	1	reward_code_snapshot
reward_redemptions	reward_redemptions_reward_id_index	1	reward_id
reward_redemptions	reward_redemptions_reward_status_idx	1	reward_id,status
reward_redemptions	reward_redemptions_reward_type_snapshot_index	1	reward_type_snapshot
reward_redemptions	reward_redemptions_status_created_idx	1	status,created_at
reward_redemptions	reward_redemptions_status_index	1	status
roles	PRIMARY	0	code
slides	PRIMARY	0	code
sms_campaigns	PRIMARY	0	id
sms_campaigns	sms_campaigns_audience_mode_index	1	audience_mode
sms_campaigns	sms_campaigns_code_unique	0	code
sms_campaigns	sms_campaigns_created_by_index	1	created_by
sms_campaigns	sms_campaigns_provider_index	1	provider
sms_campaigns	sms_campaigns_scheduled_at_index	1	scheduled_at
sms_campaigns	sms_campaigns_status_index	1	status
sms_campaigns	sms_campaigns_team_id_index	1	team_id
sms_campaigns	sms_campaigns_team_status_sched_idx	1	team_id,status,scheduled_at
sms_campaigns	sms_campaigns_updated_by_index	1	updated_by
sms_delivery_receipts	PRIMARY	0	id
sms_delivery_receipts	sms_delivery_receipts_api_key_index	1	api_key
sms_delivery_receipts	sms_delivery_receipts_campaign_id_index	1	campaign_id
sms_delivery_receipts	sms_delivery_receipts_err_code_index	1	err_code
sms_delivery_receipts	sms_delivery_receipts_message_id_index	1	message_id
sms_delivery_receipts	sms_delivery_receipts_msisdn_index	1	msisdn
sms_delivery_receipts	sms_delivery_receipts_process_status_index	1	process_status
sms_delivery_receipts	sms_delivery_receipts_provider_index	1	provider
sms_delivery_receipts	sms_delivery_receipts_received_at_index	1	received_at
sms_delivery_receipts	sms_delivery_receipts_recipient_id_index	1	recipient_id
sms_delivery_receipts	sms_delivery_receipts_status_index	1	status
sms_delivery_receipts	sms_delivery_receipts_team_id_index	1	team_id
sms_delivery_receipts	sms_dlr_provider_msg_status_err_scts_uniq	0	provider,message_id,status,err_code,scts
sms_import_batches	PRIMARY	0	id
sms_import_batches	sms_import_batches_campaign_id_index	1	campaign_id
sms_import_batches	sms_import_batches_file_sha1_index	1	file_sha1
sms_import_batches	sms_import_batches_status_index	1	status
sms_import_batches	sms_import_batches_team_campaign_status_idx	1	team_id,campaign_id,status
sms_import_batches	sms_import_batches_team_id_index	1	team_id
sms_import_batches	sms_import_batches_uploaded_by_index	1	uploaded_by
sms_opt_outs	PRIMARY	0	id
sms_opt_outs	sms_opt_outs_created_by_index	1	created_by
sms_opt_outs	sms_opt_outs_opted_out_at_index	1	opted_out_at
sms_opt_outs	sms_opt_outs_phone_e164_index	1	phone_e164
sms_opt_outs	sms_opt_outs_phone_unique	0	phone_e164
sms_opt_outs	sms_opt_outs_source_index	1	source
sms_opt_outs	sms_opt_outs_team_id_index	1	team_id
sms_recipients	PRIMARY	0	id
sms_recipients	sms_recipients_campaign_id_index	1	campaign_id
sms_recipients	sms_recipients_campaign_phone_unique	0	campaign_id,phone_e164
sms_recipients	sms_recipients_campaign_status_idx	1	campaign_id,status
sms_recipients	sms_recipients_dlr_err_code_index	1	dlr_err_code
sms_recipients	sms_recipients_dlr_received_at_index	1	dlr_received_at
sms_recipients	sms_recipients_dlr_status_raw_index	1	dlr_status_raw
sms_recipients	sms_recipients_import_batch_id_index	1	import_batch_id
sms_recipients	sms_recipients_phone_e164_index	1	phone_e164
sms_recipients	sms_recipients_provider_index	1	provider
sms_recipients	sms_recipients_provider_message_id_index	1	provider_message_id
sms_recipients	sms_recipients_source_id_index	1	source_id
sms_recipients	sms_recipients_source_type_index	1	source_type
sms_recipients	sms_recipients_status_index	1	status
sms_recipients	sms_recipients_team_campaign_status_idx	1	team_id,campaign_id,status
sms_recipients	sms_recipients_team_id_index	1	team_id
spins_new	PRIMARY	0	code
tasks	PRIMARY	0	code
tasks_permission	PRIMARY	0	code
telegram_admins	PRIMARY	0	id
telegram_admins	telegram_admins_user_id_unique	0	user_id
telegram_config	PRIMARY	0	id
telegram_config	telegram_config_register_code_unique	0	register_code
telegram_customer_menus	PRIMARY	0	id
telegram_welcome_messages	PRIMARY	0	id
temp_index	PRIMARY	0	code
types	PRIMARY	0	code
upload_files	PRIMARY	0	code
upload_folders	PRIMARY	0	code
users_918Kaya	batch_code	1	batch_code
users_918Kaya	PRIMARY	0	code
users_ambfun	batch_code	1	batch_code
users_ambfun	PRIMARY	0	code
users_avenger	batch_code	1	batch_code
users_avenger	PRIMARY	0	code
users_betflix	batch_code	1	batch_code
users_betflix	PRIMARY	0	code
users_biobet	batch_code	1	batch_code
users_biobet	PRIMARY	0	code
users_chuba	batch_code	1	batch_code
users_chuba	PRIMARY	0	code
users_dreamtech	batch_code	1	batch_code
users_dreamtech	PRIMARY	0	code
users_eslot	batch_code	1	batch_code
users_eslot	PRIMARY	0	code
users_gclub	batch_code	1	batch_code
users_gclub	PRIMARY	0	code
users_joker	batch_code	1	batch_code
users_joker	PRIMARY	0	code
users_pgslot	batch_code	1	batch_code
users_pgslot	PRIMARY	0	code
users_sagaming	batch_code	1	batch_code
users_sagaming	PRIMARY	0	code
users_slotx	batch_code	1	batch_code
users_slotx	PRIMARY	0	code
users_slotxo	batch_code	1	batch_code
users_slotxo	PRIMARY	0	code
users_star	batch_code	1	batch_code
users_star	PRIMARY	0	code
users_ufabet	batch_code	1	batch_code
users_ufabet	PRIMARY	0	code
users_xe88	batch_code	1	batch_code
users_xe88	PRIMARY	0	code
user_activities	PRIMARY	0	id
websites	emp_code	1	emp_code
websites	PRIMARY	0	code
websockets_statistics_entries	PRIMARY	0	id
withdraws	idx_wd_status_enable_approve	1	status,enable,date_approve
withdraws	idx_wd_status_enable_create	1	status,enable,date_create
withdraws	PRIMARY	0	code
withdraws	unique	0	member_code,amount,date_create
withdraws_detail	member_code	1	member_code
withdraws_detail	PRIMARY	0	code
withdraws_detail	withdraw_code	1	withdraw_code
withdraws_free	PRIMARY	0	code
withdraws_seamless	idx_wds_status_enable_approve	1	status,enable,date_approve
withdraws_seamless	idx_wds_status_enable_create	1	status,enable,date_create
withdraws_seamless	PRIMARY	0	code
withdraws_seamless_free	PRIMARY	0	code
